OTUID	CoefficientOfBimodality	MaxRel_All	MedianRel_All	TaxonomicAssignment	MedianRel_NoSingletons	rdp3
5066	1	0.008224617	0.000283607	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodobiaceae;g__Rhodobium;s__Rhodobiumorientis
7173	1	0.014180374	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Leptothrix;s__Leptothrixdiscophora
9123	0.948509991	0.006239365	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__
14656	0.913603668	0.015598412	0.000850822	0.000850822	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
47877	0.991549387	0.00680658	0	0.002836075	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfobacterium;s__
49277	1	0.047929665	0.000567215	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__
59566	1	0.081678956	0.005104935	0.000283607	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
59902	1	0.006239365	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquamonas;s__
60733	1	0.024106636	0.000850822	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
79594	0.948509991	0.030062394	0	0.00113443	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
80764	0.945430084	0.159387408	0.010777085	0.026942711	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
83211	0.925926941	0.022121384	0.00226886	0.001418037	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__
88595	1	0.014747589	0.000283607	0.000283607	0	k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__ZB1;f__;g__;s__
95713	1	0.006522972	0	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flexibacteraceae;g__Arcicella;s__
101015	0.92259044	0.052467385	0.00113443	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__HTCC2188;g__HTCC;s__
101302	0.956524626	0.012195122	0.000283607	0.003119682	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrioaestuarianus
103349	1	0.00567215	0.000283607	0.000567215	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__
103969	1	0.005955757	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__
105627	1	0.026942711	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__;g__;s__
106521	1	0.013329552	0	0.00113443	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
106565	1	0.036018151	0.002836075	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotellaintermedia
107140	1	0.012762337	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__
108747	1	0.342314237	0.11627907	0.000283607	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcusthermophilus
111722	0.980117758	0.011911514	0	0.001701645	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__JTB38;g__;s__
113754	0.952730178	0.012762337	0.00113443	0.000850822	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__
126861	1	0.006522972	0	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
130002	1	0.020136132	0.00340329	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
133194	0.916034837	0.007657402	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxisalaskensis
136894	0.916034837	0.015031197	0	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__;f__;g__;s__
137154	1	0.080828134	0.000283607	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Lampropedia;s__
138493	1	0.005388542	0.000283607	0.00113443	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
140774	1	0.010493477	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonasluteoviolacea
140870	1	0.026942711	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__
146168	0.916034837	0.021270562	0	0.000567215	0	k__Bacteria;p__ZB3;c__;o__;f__;g__;s__
150990	1	0.049347703	0.002836075	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__Aurantimonas;s__Aurantimonasmanganoxydans
152423	1	0.011627907	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
152827	0.911289225	0.015882019	0.000283607	0.00453772	0	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__;s__
153017	1	0.006522972	0.000283607	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__;g__;s__
153105	1	0.019852524	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__;s__
153548	1	0.037719796	0.00567215	0.001985252	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
154082	1	0.00794101	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__;s__
154338	0.92259044	0.013329552	0	0.000567215	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__;s__
168803	1	0.008791832	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__
173469	1	0.00907544	0	0.000283607	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcushominis
175214	1	0.05076574	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sinobacteraceae;g__;s__
179177	0.913603668	0.018434487	0.000283607	0.000850822	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
179604	0.964790291	0.005388542	0	0.00113443	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__
181319	0.912672559	0.007090187	0	0.000850822	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonassp.MWYL1
181596	0.961295504	0.018150879	0.000283607	0.001701645	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__;g__;s__
182611	1	0.013329552	0.000283607	0.000567215	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__;g__Rhodopirellula;s__
202555	0.913603668	0.035167328	0	0.000850822	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrioorientalis
223209	0.916034837	0.005104935	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alteromonadaceae;g__ZD0117;s__
228248	0.944318309	0.006522972	0	0.005104935	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__;s__
229528	0.948509991	0.009642655	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__
232353	1	0.041690301	0.00226886	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
234071	1	0.005955757	0	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
236772	0.948509991	0.011911514	0.00340329	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
239588	0.975595286	0.026942711	0	0.00226886	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__HTCC2188;g__;s__
239948	1	0.006522972	0	0.003686897	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__;s__
242751	1	0.007657402	0	0.000850822	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineococcus;s__Kineococcusradiotolerans
251374	1	0.024390244	0.001701645	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
255954	0.952730178	0.018434487	0	0.000850822	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;s__Comamonasaquatica
259542	1	0.053885423	0.003970505	0.001418037	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__
271090	1	0.019568917	0.00113443	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__
271908	1	0.017300057	0.000283607	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
274005	1	0.028927964	0	0.000283607	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillustrypoxylicola
277460	1	0.014747589	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
278734	0.948509991	0.008791832	0.000283607	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
278807	0.955374038	0.016732842	0.000283607	0.001985252	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__Alcanivorax;s__
284011	0.948509991	0.008508225	0	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
302025	1	0.016449234	0	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__
311934	0.948509991	0.026375496	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Glaciecola;s__Glaciecolapunicea
313857	1	0.005104935	0	0.000283607	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__;s__
315848	1	0.023823029	0.00226886	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__HTCC2188;g__HTCC;s__
317892	1	0.005104935	0	0.000283607	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
320002	1	0.034316506	0.000850822	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__
323292	0.979222991	0.011911514	0.000567215	0.001701645	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__;s__
330503	1	0.048213273	0.011911514	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
333269	0.958366524	0.00567215	0	0.00113443	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
343296	1	0.021554169	0.000283607	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
349122	1	0.015314804	0	0.000283607	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__
370761	0.943571374	0.06664776	0.000567215	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
372529	1	0.006522972	0	0.000283607	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
404318	1	0.009359047	0.000567215	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
426016	1	0.009642655	0.000283607	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
430903	1	0.153148043	0.01020987	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__
489717	1	0.027226319	0	0.000283607	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesFamilyXI.IncertaeSedis;g__Peptoniphilus;s__Peptoniphilusasaccharolyticus
501795	1	0.193136699	0.01020987	0.000850822	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__;s__
511720	1	0.005104935	0.000283607	0.000283607	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;s__
512567	1	0.093023256	0.001985252	0.000283607	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
519028	1	0.034883721	0.008508225	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__
532766	0.973463206	0.008224617	0.000283607	0.022404991	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;s__
533454	0.933392812	0.013329552	0	0.002552467	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__;g__;s__
534555	0.96753134	0.015031197	0	0.030346001	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__
540893	1	0.034316506	0	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__
547351	0.948509991	0.015882019	0.000850822	0.00226886	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__
548007	1	0.006239365	0.000567215	0.000283607	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia;s__
548120	0.948509991	0.030629609	0.000283607	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
553141	0.976793491	0.00680658	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__;g__;s__
563050	0.976793491	0.037719796	0.000283607	0.000567215	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__;f__;g__;s__
577112	1	0.034600113	0.000567215	0.000283607	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sinobacteraceae;g__;s__
580798	0.941964064	0.023823029	0.000283607	0.054452638	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__;s__
586625	0.952730178	0.005104935	0	0.000850822	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Amphritea;s__
587903	0.916034837	0.011344299	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulforhopalus;s__
589380	0.905883755	0.00907544	0	0.000567215	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
590285	1	0.005955757	0	0.000283607	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
